added,collx_id,category,number,name,team,year,brand,set,flags,condition,front_image,back_image,market_value,asking_price,sold_for_price,purchase_price,location,notes,quantity
7/20/26,1115574919959730176,Baseball,557,Kyle Higashioka,Texas Rangers,2026,Topps,2026 Topps - Rainbow Foil,,RAW,https://storage.googleapis.com/collx-product-images/1115574919959730176-1-0j2k.jpg,https://storage.googleapis.com/collx-product-images/1115574919959730176-2-l6bH.jpg,1.38,1.5,,,Mule Sauce,,1
7/20/26,1115574907804637184,Baseball,67,Ketel Marte,Arizona Diamondbacks,2026,Topps,2026 Topps - Flagship Collection (Series Two),,RAW,https://storage.googleapis.com/collx-product-images/1115574907804637184-1-FMHx.jpg,https://storage.googleapis.com/collx-product-images/1115574907804637184-2-FDdN.jpg,,2,,,Mule Sauce,,1
7/20/26,1115574912133158912,Baseball,14,Manny Machado,San Diego Padres,2026,Topps,2026 Topps - Flagship Collection Chrome (Series Two),,RAW,https://storage.googleapis.com/collx-product-images/1115574912133158912-1-8uf1.jpg,https://storage.googleapis.com/collx-product-images/1115574912133158912-2-7IKE.jpg,2.00,2,,,Mule Sauce,,1
7/20/26,1115574896211580928,Baseball,329,Mark Canha,New York Mets,2023,Topps,2023 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115574896211580928-1-HFyx.jpg,https://storage.googleapis.com/collx-product-images/1115574896211580928-2-ZB2R.jpg,1.79,1.88,,,Mule Sauce,,1
7/20/26,1115574899759962112,Baseball,362,Kodai Senga,New York Mets,2023,Topps,2023 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1115574899759962112-1-xKB.jpg,https://storage.googleapis.com/collx-product-images/1115574899759962112-2-r4xi.jpg,0.99,1,,,Mule Sauce,,1
7/20/26,1115574903685830656,Baseball,409,Logan Henderson,Milwaukee Brewers,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115574903685830656-1-rBou.jpg,https://storage.googleapis.com/collx-product-images/1115574903685830656-2-fmpW.jpg,0.11,0.25,,,Mule Sauce,,1
7/20/26,1115574888175294464,Baseball,246,Kodai Senga,New York Mets,2025,Topps,2025 Topps Chrome,,RAW,https://storage.googleapis.com/collx-product-images/1115574888175294464-1-Se67.jpg,https://storage.googleapis.com/collx-product-images/1115574888175294464-2-08fp.jpg,1.99,2,,,Mule Sauce,,1
7/20/26,1115574892117940224,Baseball,217,Luis Arraez,Minnesota Twins,2023,Topps,2023 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115574892117940224-1-E73q.jpg,https://storage.googleapis.com/collx-product-images/1115574892117940224-2-w0LV.jpg,0.10,0.25,,,Mule Sauce,,1
7/20/26,1115574880013178880,Baseball,56,Luisangel Acuña,New York Mets,2025,Topps,2025 Topps Chrome,RC,RAW,https://storage.googleapis.com/collx-product-images/1115574880013178880-1-Dw6S.jpg,https://storage.googleapis.com/collx-product-images/1115574880013178880-2-Rifd.jpg,1.00,1,,,Mule Sauce,,1
7/20/26,1115574884056487936,Baseball,246,Kodai Senga,New York Mets,2025,Topps,2025 Topps Chrome,,RAW,https://storage.googleapis.com/collx-product-images/1115574884056487936-1-vmTK.jpg,https://storage.googleapis.com/collx-product-images/1115574884056487936-2-JkD.jpg,1.99,2,,,Mule Sauce,,1
7/20/26,1115574871406467072,Baseball,457,Mackey Sasser,New York Mets,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115574871406467072-1-ioZ.jpg,https://storage.googleapis.com/collx-product-images/1115574871406467072-2-cky5.jpg,1.49,1.5,,,Mule Sauce,,1
